Stars,Description
5.0,"El Samsung Galaxy S24 Ultra es un teléfono que ha generado gran expectación.Dimensiones y Peso: El S24 Ultra mide 162,3 x 79 x 8,6 mm y pesa 233 g. Su pantalla de 6,8 pulgadas ofrece una resolución Quad HD+ AMOLED LTPO con una tasa de refresco de 120 Hz y protección Gorilla Glass Armor1.Almacenamiento: Viene en variantes de 12 + 256 GB, 12 + 512 GB y 12 + 1 TB.Cámaras Traseras:Principal: 200 MP, apertura f/1.7, con estabilización óptica de imagen (OIS).Telefoto: 50 MP, apertura f/3.4, OIS, zoom óptico 5x.Ultra gran angular: 10 MP, apertura f/2.4, OIS, zoom óptico 3x.Macro: 12 MP, apertura f/2.2.Cámara Frontal: 12 MP, apertura f/2.2.Batería: 5.000 mAh con carga rápida de 45 W y carga inalámbrica de 15 W.Sistema Operativo: Basado en Android 14 con One UI 6.1.Conectividad: 5G, WiFi 7, Bluetooth 5.3, GPS, NFC, UWB, USB tipo C.Otros: Certificación IP68, S-Pen integrado, Samsung Dex.En resumen, el Samsung Galaxy S24 Ultra es un sólido candidato a ser uno de los mejores teléfonos Android del año. Su potente hardware, pantalla nítida y funciones inteligentes lo hacen destacar. Sin embargo, ten en cuenta que su precio es elevado"
5.0,"I'm all too happy with this phone! I hadn't purchased a new phone in almost 4 years, so this was a very, very much needed upgrade. The difference in the operating system speed compared to my older phone is just mind-blowing. The phone is much faster, does not lag, and it has massive cameras. Haha. My old phone had baby size cameras. Lol! But seriously, this is a great phone!!!It does work for Verizon and Straighttalk by the way."
5.0,Good
5.0,"Love this ""computer"" which also happens to be a cell phone.  My son said so, and told me I would love it.  He was right!  It does so many things, just incredible.  There is a ""learning curve"" which I am presently having fun with.  This model comes with a stylet, and you can write a note to yourself and save it!  Pretty classy. Can't say anything about the battery, as I've only had it a short time."
5.0,"So I switched to this from a fold 3 (switched cuz of work environment) and I really like it, I've had little to no problems so farI've seen some complaints about the 150$ promotion amazon is having it does give it to u it doesn't apply it to ur account like a gift card tho, u have to buy something made and shipped from Amazon and when u go to check out it'll add a promotion to ur order filling what ever the cost was until u use all 150$Here the pros and cons I've noticedPros -Amazing battery life lasted me from 4:45am to  9pm with 15% remaining.Google image search biuld in to the phone, I love itCamera is way better then the fold but given the fold doesn't really focus on camera qualityCons -Here's the big oof with this phone, I haven't read too much in to it or anything but as to what I'm aware, 32bit system is getting dropped and newer phones are gonna now only support 64bit operating systems so u might loose some of the apps you had previously ( I lost around 12 apps/games ) and that's not saying it won't be fixed later on the dev could add 64bit to the app.Other then that I have no other complaints about it."
5.0,Super rápido fácil de configurar unas cámaras increíbles  un procesamiento  de alta gama. Su acabado en titanio me encanta. El venir desbloqueado facilito su uso en mi pais
5.0,The phone is worth every penny spent on it.
5.0,I love it! Excellent quality! I love everything about it! So far so good
5.0,Es el mejor celular del mercado sin duda.excelente equipo
5.0,"Long time Samsung user absolutely live this phone, feels different to have flat screen love this phone and features"
3.0,"First, data transfer: you have to go through a bunch of advertising hurdles and a treasure hunt to figure out what to do next.Later, much later when thanks to cheer luck and many tries later you finally get thing downloaded, you get a message ""to complete account setup click here"" > empty page.After trying several ways around, you get a message asking you to enter a code that was sent to the very email account you've been supposed to access for days to complete setup... Clever isn't it?Btw, i've been using android on many phones for years. Never seen so many hurdles.Nice photos..."
5.0,"the best smartphone,,"
5.0,What can I say. This is the best phone in the world and worth the price in my opinion.
5.0,"100% original, nuevo y llego rápido"
5.0,Works good no scratches or nothing i like
5.0,Sleek phone and amazing camera. I upgraded from s22 Ultra because it was starting to freeze up on me.So far I've had no issues with the phone and it's been about a week.
5.0,"Loving it so far, had it for a few months."
5.0,Encantada con el telefono
5.0,Excelente dispositivo
5.0,"Elegante, bello simplemente uno de los mejores equipos."
5.0,Works great and the stylus is awesome.
4.0,"Phone is great so far.  My issue is with Amazon customer service.  I never received the $150 e-gift card.  I contacted customer service and they act like they have no idea what I am talking about even though I sent them a screenshot of the order showing it was redeemed.UPDATE:  As someone else mentioned, you have to purchase something that is shipped and sold from Amazon.  Pretty limiting.  I wanted to purchase a new charger -  Samsung, Anker, Ugreen all ship from their own stores.  Also, it shows as a discount rather than a Gift Card."
5.0,Still learning it
5.0,Phone has give me zero issues and I like it so far. Very clear screen with great HD for things like Netflix and useful for notes. I often take pictures on power points and eaily extract the text and put them into notes. Noise canceling is amazing.  👏
5.0,"Great phone, i am just started using it, easy to configure, has great photo and video quality."
5.0,Great phone. Pictures are amazing!
4.0,Todo bien
5.0,Very good phone.
5.0,I came from having a one plus 7pro phone to a Samsung galaxy s24 ultra. This phone takes amazing pictures. It's so quick and the battery lasts me a long time. I don't really use the stilus but it's great as a remote to take group pictures when no one is around to take a picture.
3.0,"This new Samsung S24 Ultra is not much better than the Galaxy Note 10 plus that it replaced Ram memory both have same 12 GB, cosider that note 10plus came out five 5 years ago. The screen resolution is higher, true but makes little difference in real life applications and videos. Same screen size as my note 10 plus 6.8 and no memory card. Is much heavier than the note 10 and bulky and the flat screen doesn't make much difference. To be truthful most users don't get to use not even 50% of the feature that these phones offer including me. So why not concentrate their resources in a truly better screen experience and interactive features that can be used in a day-to-day basis like email and chats. This phone doesn't justify the high price tag of $1675 retail by Samsung website. At least I got a better price here in Amazon, so I don't feel that bad. This phone will be replaced soon, I'm pretty sure.  I apologize for pointing out the not too good things, but I feel disappointed, I had higher expectations from a $1600 cell phone. Don't understand some reviewers here unless they were coming from a really basic phone. Be your own judge and keep posting your experiences. It helps. Kudos to Amazon for a super-Fast delivery!!!!!"
5.0,SAMSUNG GALAXY S24+ IS VERY INNOVATIVE WITH IMPROVED CAMERA FEATURES AND WAS DEFINITELY WORTH THE WAIT FOR THE UPGRADED FEATURES.
5.0,"Siempre quise este equipo y ahora lo tengo, esta buenísimoLo único que veo es que a mi anterior teléfono (red magic 9 pro)La batería en este dura poco menos de un día"
5.0,"Excelente teléfono. Su diseño es muy elegante,  su potencia y batería ni se diga."
5.0,If you like to take pictures this phone is for you.  It takes crisp bright pictures.  I love the size and color.  I would purchase again.
